Datetime (%Y-%m-%d %H:%M:%S),Powerload (kW)
2023-09-01 08:00:00,27.46
2023-09-01 08:30:00,73.64
2023-09-01 09:00:00,78.42
2023-09-01 09:30:00,79.14
2023-09-01 10:00:00,79.3
2023-09-01 10:30:00,79.16
2023-09-01 11:00:00,78.5
2023-09-01 11:30:00,77.88
2023-09-01 12:00:00,77.92
2023-09-01 12:30:00,11.15
2023-09-01 13:00:00,0.02
2023-09-01 13:30:00,0.02
2023-09-01 14:00:00,68.68
2023-09-01 14:30:00,77.99
2023-09-01 15:00:00,77.92
2023-09-01 15:30:00,82.46
2023-09-01 16:00:00,79.28
2023-09-01 16:30:00,77.89
2023-09-01 17:00:00,77.93
2023-09-01 17:30:00,55.91
2023-09-01 18:00:00,0.02
2023-09-01 18:30:00,0.02
2023-09-01 19:00:00,0.02
2023-09-01 19:30:00,0.02
2023-09-01 20:00:00,0.02
2023-09-01 20:30:00,20.59
2023-09-01 21:00:00,90.95
2023-09-01 21:30:00,92.65
2023-09-01 22:00:00,70.89
2023-09-01 22:30:00,71.28
2023-09-01 23:00:00,71.31
2023-09-01 23:30:00,71
2023-09-02 00:00:00,71.09
2023-09-02 00:30:00,58.28
2023-09-02 01:00:00,3.29
2023-09-02 01:30:00,0.02
2023-09-02 02:00:00,0.02
2023-09-02 02:30:00,0.02
2023-09-02 03:00:00,3.92
2023-09-02 03:30:00,4.17
2023-09-02 04:00:00,4.13
2023-09-02 04:30:00,4.05
2023-09-02 05:00:00,4.95
2023-09-02 05:30:00,4.24
2023-09-02 06:00:00,0.52
2023-09-02 06:30:00,0.02
2023-09-02 07:00:00,0.02
2023-09-02 07:30:00,0.02
2023-09-02 08:00:00,61.91
2023-09-02 08:30:00,50.46
2023-09-02 09:00:00,0.02
2023-09-02 09:30:00,0.02
2023-09-02 10:00:00,0.02
2023-09-02 10:30:00,0.02
2023-09-02 11:00:00,0.02
2023-09-02 11:30:00,0.02
2023-09-02 12:00:00,61.6
2023-09-02 12:30:00,70.44
2023-09-02 13:00:00,70.61
2023-09-02 13:30:00,70.76
2023-09-02 14:00:00,70.46
2023-09-02 14:30:00,70.61
2023-09-02 15:00:00,71.49
2023-09-02 15:30:00,71.52
2023-09-02 16:00:00,71.02
2023-09-02 16:30:00,50.5
2023-09-02 17:00:00,0.02
2023-09-02 17:30:00,0.02
2023-09-02 18:00:00,0.02
2023-09-02 18:30:00,20.45
