Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,165309,-,-,-,53.33,-6.26,0,18,0,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,GHI,DHI,DNI,Solar Zenith Angle,Surface Albedo,Pressure,Wind Speed
2019,1,1,0,0,8.6,0,0,0,149.24,0.1,1036,5.1000000000000005
2019,1,1,0,30,8.4,0,0,0,149.71,0.1,1036,5
2019,1,1,1,0,8.200000000000001,0,0,0,149.11,0.1,1036,5
2019,1,1,1,30,8.1,0,0,0,147.53,0.1,1036,5
2019,1,1,2,0,8,0,0,0,145.08,0.1,1036,5
2019,1,1,2,30,7.9,0,0,0,141.97,0.1,1036,5
2019,1,1,3,0,7.9,0,0,0,138.36,0.1,1037,4.9
2019,1,1,3,30,7.9,0,0,0,134.39000000000001,0.1,1037,4.9
2019,1,1,4,0,8,0,0,0,130.18,0.1,1037,4.800000000000001
2019,1,1,4,30,8.1,0,0,0,125.81,0.1,1037,4.6000000000000005
2019,1,1,5,0,8.200000000000001,0,0,0,121.36,0.1,1037,4.4
2019,1,1,5,30,8.200000000000001,0,0,0,116.88,0.1,1037,4.3
2019,1,1,6,0,8.3,0,0,0,112.43,0.1,1037,4.1000000000000005
2019,1,1,6,30,8.4,0,0,0,108.04,0.1,1037,3.9000000000000004
2019,1,1,7,0,8.4,0,0,0,103.77,0.1,1037,3.7
2019,1,1,7,30,8.5,0,0,0,99.65,0.1,1038,3.7
2019,1,1,8,0,8.6,0,0,0,95.72,0.1,1038,3.6
2019,1,1,8,30,8.6,0,0,0,92.03,0.1,1038,3.5
2019,1,1,9,0,8.700000000000001,20,14,187,88.28,0.1,1038,3.3000000000000003
2019,1,1,9,30,8.8,56,26,367,85.36,0.1,1039,3.3000000000000003
2019,1,1,10,0,8.9,96,35,481,82.7,0.1,1039,3.2
2019,1,1,10,30,8.9,134,41,560,80.44,0.1,1039,3.2
2019,1,1,11,0,9,166,45,613,78.62,0.1,1039,3.1
2019,1,1,11,30,9.1,12,12,0,77.3,0.1,1039,3.2
2019,1,1,12,0,9.1,203,51,652,76.51,0.1,1039,3.2
2019,1,1,12,30,9.1,209,52,661,76.26,0.1,1039,3.2
2019,1,1,13,0,9.1,204,51,656,76.56,0.1,1039,3.2
2019,1,1,13,30,9.1,188,49,637,77.41,0.1,1039,3.2
2019,1,1,14,0,9,164,46,605,78.78,0.1,1039,3.2
2019,1,1,14,30,8.700000000000001,132,41,553,80.63,0.1,1039,3.1
2019,1,1,15,0,8.5,93,35,475,82.94,0.1,1040,3
2019,1,1,15,30,8.200000000000001,52,26,351,85.62,0.1,1040,3
2019,1,1,16,0,8,17,13,165,88.56,0.1,1040,3.1
2019,1,1,16,30,7.800000000000001,0,0,0,92.37,0.1,1041,3.1
2019,1,1,17,0,7.7,0,0,0,96.08,0.1,1041,3.1
2019,1,1,17,30,7.6000000000000005,0,0,0,100.03,0.1,1041,3
2019,1,1,18,0,7.4,0,0,0,104.17,0.1,1041,2.9000000000000004
2019,1,1,18,30,7.1000000000000005,0,0,0,108.45,0.1,1042,2.8000000000000003
2019,1,1,19,0,6.800000000000001,0,0,0,112.84,0.1,1042,2.7
2019,1,1,19,30,6.5,0,0,0,117.3,0.1,1042,2.6
2019,1,1,20,0,6.2,0,0,0,121.77,0.1,1042,2.5
2019,1,1,20,30,6.1000000000000005,0,0,0,126.21000000000001,0.1,1042,2.4000000000000004
2019,1,1,21,0,6,0,0,0,130.56,0.1,1042,2.3000000000000003
2019,1,1,21,30,5.9,0,0,0,134.75,0.1,1042,2.3000000000000003
2019,1,1,22,0,5.800000000000001,0,0,0,138.69,0.1,1043,2.2
2019,1,1,22,30,5.800000000000001,0,0,0,142.25,0.1,1043,2.2
2019,1,1,23,0,5.800000000000001,0,0,0,145.3,0.1,1043,2.1
2019,1,1,23,30,5.800000000000001,0,0,0,147.65,0.1,1043,2.1
2019,1,2,0,0,5.9,0,0,0,149.14000000000001,0.1,1043,2
