Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,145612,-,-,-,36.61,-121.86,-8,9,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,GHI,DHI,DNI,Solar Zenith Angle,Surface Albedo,Pressure,Wind Speed
2022,1,1,0,0,9.600000000000001,0,0,0,166.17000000000002,0.07,1042,3.2
2022,1,1,0,30,9.5,0,0,0,165.76,0.07,1042,3.1
2022,1,1,1,0,9.4,0,0,0,162.73,0.07,1043,3
2022,1,1,1,30,9.200000000000001,0,0,0,158.16,0.07,1043,2.9000000000000004
2022,1,1,2,0,9.1,0,0,0,152.83,0.07,1044,2.8000000000000003
2022,1,1,2,30,9,0,0,0,147.13,0.07,1044,2.7
2022,1,1,3,0,9,0,0,0,141.23,0.07,1044,2.7
2022,1,1,3,30,8.8,0,0,0,135.25,0.07,1044,2.6
2022,1,1,4,0,8.6,0,0,0,129.23,0.07,1044,2.5
2022,1,1,4,30,8.4,0,0,0,123.23,0.07,1045,2.5
2022,1,1,5,0,8.200000000000001,0,0,0,117.26,0.07,1045,2.4000000000000004
2022,1,1,5,30,8.1,0,0,0,111.36,0.07,1045,2.4000000000000004
2022,1,1,6,0,7.9,0,0,0,105.56,0.07,1046,2.4000000000000004
2022,1,1,6,30,7.800000000000001,0,0,0,99.88,0.07,1046,2.3000000000000003
2022,1,1,7,0,7.7,0,0,0,94.36,0.07,1046,2.3000000000000003
2022,1,1,7,30,8.5,13,11,66,88.65,0.07,1047,2.2
2022,1,1,8,0,9.200000000000001,63,47,149,83.8,0.07,1047,2.2
2022,1,1,8,30,9.9,134,76,307,79.05,0.07,1048,2.1
2022,1,1,9,0,10.600000000000001,227,78,564,74.63,0.07,1048,2.1
2022,1,1,9,30,11.4,303,85,658,70.61,0.07,1048,2.2
2022,1,1,10,0,12.200000000000001,395,57,869,67.08,0.07,1048,2.3000000000000003
2022,1,1,10,30,12.700000000000001,451,59,898,64.14,0.07,1048,2.2
2022,1,1,11,0,13.200000000000001,494,61,918,61.86,0.07,1048,2.1
2022,1,1,11,30,13.600000000000001,523,63,930,60.33,0.07,1047,1.9000000000000001
