cloud_lower,cloud_upper,sun_mean,sun_stdev,autoregressive_proportion
0.351746246094,0.882813,0.5375,0.111328,0.876094
0.046692152344,0.398438,0.635937,0.145703,0.90125
0.095092625,0.59375,0.346875,0.105859,0.969062
0.06506337499999999,0.160156,0.459375,0.113281,0.904531
0.20510901367200002,0.558594,0.545313,0.090625,0.960312
0.16207898632800002,0.367188,0.682812,0.066016,0.941719
0.026352071289,0.613281,0.476563,0.061719,0.844375
0.016616928710999998,0.042969,0.446875,0.089844,0.959219
0.038269171874999994,0.515625,0.671875,0.112891,0.808281
0.035949828125,0.074219,0.645313,0.121875,0.712031
0.127106013672,0.929688,0.49375,0.146094,0.823594
0.009613123047,0.136719,0.329687,0.123047,0.802812
0.25900258007800003,0.960938,0.551563,0.057031,0.81375
0.010528689453000001,0.269531,0.5875,0.063672,0.744844
0.17687981249999998,0.628906,0.315625,0.098438,0.732813
0.10437018749999999,0.28125,0.407812,0.057422,0.811563
0.146255694336,0.527344,0.61875,0.128516,0.951563
0.13108830566399998,0.277344,0.620313,0.110938,0.84875
0.158752640625,0.796875,0.489062,0.100391,0.9275
0.040466359375000004,0.199219,0.410937,0.116797,0.908906
0.167312413086,0.503906,0.614063,0.070313,0.922031
0.16471858691400001,0.332031,0.54375,0.069922,0.95375
0.30670156249999997,0.785156,0.498438,0.097266,0.845469
0.0839234375,0.390625,0.432813,0.077734,0.907812
0.133941845703,0.519531,0.617188,0.139844,0.760156
0.123871154297,0.257813,0.6625,0.103125,0.809375
0.07434084375,0.792969,0.492188,0.13125,0.838906
0.01940915625,0.09375,0.403125,0.124609,0.792969
0.206298625,0.8125,0.659375,0.070703,0.756875
0.04760737500000001,0.253906,0.5125,0.059375,0.755781
0.42114281249999996,0.898438,0.375,0.098047,0.832344
0.04760765625,0.46875,0.401563,0.075781,0.777656
0.30969271875,0.671875,0.634375,0.103516,0.879375
0.15124528125,0.460938,0.6,0.118359,0.938438
0.2089845,0.835938,0.43125,0.110547,0.943906
0.04101575,0.25,0.484375,0.119531,0.917656
0.18447913867200003,0.605469,0.514063,0.066406,0.975625
0.12020886132800002,0.304688,0.573438,0.075,0.942813
0.169326569336,0.535156,0.457812,0.082813,0.91875
0.147079430664,0.316406,0.421875,0.096094,0.928594
0.1434328125,0.78125,0.69375,0.114063,0.830156
0.0401611875,0.183594,0.646875,0.135156,0.788594
0.13073779687499998,0.984375,0.3875,0.137109,0.810469
0.002075203125,0.132813,0.373438,0.127734,0.785313
0.19395430566400002,0.871094,0.55625,0.051563,0.745937
0.028701694336,0.222656,0.640625,0.063281,0.77
0.09509309375,0.640625,0.351563,0.071875,0.791875
0.05334490625,0.148438,0.389063,0.068359,0.829063
0.0476074375,0.761719,0.557813,0.123828,0.98
0.0148925625,0.0625,0.695313,0.106641,0.972344
0.007553258789,0.644531,0.395312,0.147656,0.963594
0.004165741211,0.011719,0.325,0.126953,0.946094
0.225067498047,0.976563,0.595312,0.085547,0.911094
0.005401732422,0.230469,0.526562,0.051172,0.905625
0.32011421191399997,0.738281,0.309375,0.073828,0.914375
0.11347978808599998,0.433594,0.392187,0.05625,0.895781
0.230285453125,0.765625,0.601563,0.15,0.773281
0.07049554687500001,0.300781,0.59375,0.147266,0.821406
0.20025628125,0.753906,0.39375,0.144141,0.706563
0.06536871875,0.265625,0.420313,0.137891,0.764531
0.11399861816399999,0.941406,0.7,0.074609,0.799531
0.007095381836,0.121094,0.689062,0.076563,0.703281
0.027344,1.0,0.323438,0.073438,0.766719
0.0,0.027344,0.348437,0.080078,0.7175
0.05471835742200001,0.636719,0.58125,0.125781,0.846563
0.031219642578,0.085938,0.621875,0.132031,0.958125
0.137329453125,0.703125,0.445313,0.132813,0.940625
0.05798354687499999,0.195313,0.334375,0.139453,0.881563
0.08734151562499999,0.828125,0.603125,0.079688,0.855312
0.018127484375,0.105469,0.628125,0.069531,0.882656
0.13616990234399998,0.757813,0.36875,0.086328,0.977813
0.043518277343999996,0.179688,0.342188,0.058594,0.937344
0.151153888672,0.992188,0.521875,0.102344,0.767813
0.0011902636720000001,0.152344,0.560938,0.142188,0.750312
0.19284061132799998,0.554688,0.303125,0.135938,0.748125
0.15481573632800003,0.347656,0.360937,0.114844,0.729531
0.302124453125,0.859375,0.509375,0.094531,0.783125
0.049438546875,0.351563,0.66875,0.084766,0.754688
0.04089359375,0.523438,0.35625,0.050781,0.801719
0.037231484375,0.078125,0.440625,0.065234,0.724063
0.2672730625,0.589844,0.503125,0.121094,0.897969
0.1858519375,0.453125,0.660938,0.111719,0.861875
0.049590986328,0.507813,0.464063,0.144531,0.859687
0.048065111328,0.097656,0.48125,0.1125,0.97125
0.35449237499999997,0.945313,0.584375,0.099219,0.932969
0.020508,0.375,0.546875,0.059766,0.862969
0.272156308594,0.710938,0.321875,0.091016,0.893594
0.110657074219,0.382813,0.45,0.095313,0.900156
0.197158569336,0.691406,0.632813,0.120703,0.780938
0.087997430664,0.285156,0.532812,0.107813,0.807188
0.34776316503899996,0.832031,0.423437,0.107031,0.715312
0.070205834961,0.417969,0.414063,0.146875,0.805
0.01782228125,0.570313,0.582813,0.066797,0.837813
0.01342775,0.03125,0.53125,0.091797,0.727344
0.298278703125,0.707031,0.471875,0.080859,0.814844
0.123596296875,0.421875,0.3125,0.078516,0.826875
0.060439819336000004,0.910156,0.609375,0.149609,0.884844
0.0059661806640000006,0.066406,0.529688,0.138672,0.889219
0.329315205078,0.773438,0.335938,0.130859,0.920938
0.096466220703,0.425781,0.326563,0.104297,0.957031
0.36955252441400005,0.808594,0.698437,0.072656,0.970156
0.087478475586,0.457031,0.654688,0.092578,0.930781
0.11283852441400001,0.996094,0.376562,0.058984,0.903438
0.00044247558600000005,0.113281,0.482813,0.056641,0.88375
0.24975603124999998,0.726563,0.685938,0.116016,0.701094
0.09399431250000001,0.34375,0.629688,0.117578,0.731719
0.169601243164,0.964844,0.409375,0.128906,0.753594
0.006179756836,0.175781,0.4375,0.141797,0.827969
0.06472762695300001,0.789063,0.564062,0.053516,0.763438
0.017303455078,0.082031,0.570313,0.067578,0.819219
0.21403511816399998,0.660156,0.384375,0.077344,0.725156
0.11018388183599999,0.324219,0.332812,0.084375,0.718594
0.0812986875,0.5625,0.565625,0.148047,0.945
0.0632323125,0.144531,0.504687,0.105078,0.93625
0.324249345703,0.664063,0.475,0.109766,0.949375
0.164032142578,0.488281,0.357813,0.112109,0.965781
0.226455444336,0.597656,0.692188,0.083594,0.8925
0.152450555664,0.378906,0.520312,0.098828,0.966875
0.440445303711,0.980469,0.460938,0.09375,0.864063
0.008773696289,0.449219,0.451563,0.064453,0.890313
0.187683558594,0.585938,0.575,0.1375,0.705469
0.132629761719,0.320313,0.68125,0.134375,0.825781
0.0322265625,0.6875,0.465625,0.139062,0.812656
0.0146484375,0.046875,0.428125,0.144922,0.806094
0.045226828125,0.890625,0.65,0.08125,0.794063
0.005554171875,0.050781,0.6375,0.054688,0.836719
0.13671875,0.875,0.34375,0.091406,0.8225
0.01953125,0.15625,0.320313,0.082031,0.740469
0.25,0.5,0.5,0.1,0.84
0.07049596484399999,0.117188,0.4625,0.088672,0.803906
0.5310676367189999,0.601563,0.364062,0.054297,0.77875
0.341186625,0.40625,0.653125,0.094141,0.710938
0.498657375,0.839844,0.540625,0.086719,0.775469
0.279327455078,0.441406,0.454687,0.109375,0.719687
0.353485544922,0.632813,0.317188,0.133984,0.738281
